danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.583,0.484,-1.1518070042374935,0.0306,0.904,0.146,0.116,0.243,1.1217318152343234,1.3576617964035915
0.593,0.583,0.20099642620626282,0.0306,0.4,0.0,0.194,0.656,0.8197680427211855,0.6608186186131436
0.31,0.537,-0.7641946678778994,0.0362,0.824,0.122,0.108,0.175,-2.0042760629280627,-0.25241517453893186
0.588,0.311,-0.5245136298578373,0.025,0.791,0.0,0.352,0.545,-1.3037656328743439,0.5493858690507974
0.357,0.466,0.0300266469777869,0.0332,0.838,2.3e-05,0.116,0.403,-0.059303125676670954,0.9514437763183099
0.46,0.377,-0.8805996239483503,0.0314,0.652,0.0,0.0947,0.433,1.8780069118199898,0.041447425047766814
0.522,0.357,-0.7007377994644933,0.0299,0.432,3.31e-06,0.094,0.14,-0.012946375675281924,0.9879944951608111
0.542,0.553,0.35296956329824114,0.0393,0.727,0.0,0.128,0.376,0.5890844119859612,0.4291149031518676
0.593,0.287,-2.5539208674610934,0.0289,0.876,0.000136,0.119,0.191,0.2804440535479096,0.3837907168104136
0.453,0.412,-0.6740616636983479,0.0255,0.457,0.00241,0.115,0.261,-1.5688185070639538,0.6923836769580848
0.566,0.885,0.8816420721182094,0.0355,0.122,3.75e-06,0.049,0.31,0.5547910388261768,2.0214992542118164
0.72,0.786,-0.222588275050103,0.0319,0.456,0.616,0.186,0.488,-0.16533186238197498,1.2495312375604084
0.471,0.131,-2.6048480357419157,0.0362,0.933,0.00245,0.109,0.115,-0.058582357877958485,1.8728035485930317
0.368,0.422,-0.024133992304992836,0.0366,0.866,5.28e-05,0.106,0.0828,-0.12204785931193834,0.7834852915044074
0.457,0.63,0.41198040908395656,0.0268,0.183,0.438,0.0879,0.332,-1.1525182005866708,1.2574144085419399
0.506,0.438,-0.09042014784511103,0.0268,0.759,8.64e-06,0.109,0.178,0.3470202370605427,0.49914077104941407
0.44,0.389,0.17512865819060686,0.0368,0.795,1.91e-05,0.149,0.176,-0.13471819851035405,0.7101896073065131
0.54,0.371,-0.5750366142634153,0.0244,0.787,0.0,0.206,0.395,-1.4935551748194729,0.6337697916929402
